الجذر,المصدر,إسماء الفاعل,إسماء المفعول,الماضي,الْمُضَارِع,الْأَمْر,English
د ر س,دَرس,دارِس,مَدروس,دَرَسَ,يَدرُس,اُدرُس,To study
ق ت ل,مَقتَل,قاتِل,مَقتول,قَتَلَ,يَقتُل,اُقتُل,To kill
س ل م,سَلام,سالِم,مَسلوم,سَلَمَ,يَسلَم,اِسلَم,To be at peace
ذ ه ب,مَذهَب,ذاهِب,مَذهوب,ذَهَبَ,يَذهَب,اِذهَب,To go
غ س ل,غَسل,غاسِل,مَغسول,غَسَلَ,يَغسِل,اِغسِل,To wash
ك ت ب,كِتابَة,كاتِب,مَكتوب,كَتَبَ,يَكتُب,اُكتُب,To write
ش ر ب,شُرب,شارِب,مَشروب,شَرِبَ,يَشرَب,اِشرَب,To drink
و ث ق,ثِقَة,واثِق,مَوثوق,وَثِقَ,يَثِق,ثِق,To trust
ح ب ب,حُبّ,حابّ,مَحبوب,حَبَّ,يَحِبّ,اِحبِب,To love
ث ب ت,ثَبات,ثابِت,NA,ثَبَتَ,يَثبُت,اُثبُت,To withstand
ر ه ب,رَهبَة,راهِب,مَرهوب,رَهِبَ,يَرهَب,اِرهَب,To fear
ش غ ف,شَغف,شاغِف,مَشغوف,شَغَفَ,يَشغَف,اِشغَف,To enamor
ف ص م,فَصم,فاصِم,مَفصوم,فَصَمَ,يَفصِم,اِفصِم,To separate
ل ق ن,لَقانَة,لاقِن,مَلقون,لَقِنَ,يَلقَن,اِلقَن,To understand
ه ش م,هَشم,هاشِم,مَهشوم,هَشَمَ,يَهشِم,اِهشِم,To crush
ك ذ ب,كِذبَة,كاذِب,مَكذوب,كَذَبَ,يَكذِب,اِكذِب,To lie
ف ش ل,فَشَل,فَاشِل,مَفْشُول,فَشِلَ,يَفْشَل,اِفْشَل,To fail